experiment,shadow_condition,phase,round,agent,provider,temperature,base_name,termination_probability_specific_count,termination_probability_specific_present,termination_probability_specific_matches,expected_game_length_count,expected_game_length_present,expected_game_length_matches,future_payoff_calculation_count,future_payoff_calculation_present,future_payoff_calculation_matches,strategic_horizon_reasoning_count,strategic_horizon_reasoning_present,strategic_horizon_reasoning_matches,mentions_specific_shadow_value,specific_shadow_matches,refined_shadow_awareness_score,has_precise_shadow_awareness,strategic_vs_generic_future
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,4,True,continuation: after each round there's a 75% chance the match ends (continuation prob; continuation prob; 75% chance the match end,2,True,short game; long game,1,True,expected payoff,0,False,,True,75%; 0.75,7,True,True
experiment_20250905_152321,0.75,1,2,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,2,True,continuation prob; continuation prob,0,False,,1,True,expected payoff,0,False,,False,,3,True,True
experiment_20250905_152321,0.75,1,1,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,0,False,,1,True,expected number of rounds is low (approx. 1/(0.25) = 4 rounds,1,True,"expected number of rounds is low (approx. 1/(0.25) = 4 rounds on average), so building a cooperative relationship early is advantageous to maximize total payoff",0,False,,True,75%,2,True,False
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,0,False,,0,False,,0,False,,0,False,,False,,0,False,False
experiment_20250905_152321,0.75,1,2,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,0,False,,0,False,,0,False,,0,False,,False,,0,False,False
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,0,False,,0,False,,0,False,,0,False,,True,75%,0,False,False
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,0,False,,0,False,,0,False,,0,False,,False,,0,False,False
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,4,True,continuation: after each round there's a 75% chance the match ends (continuation prob; continuation prob; 75% chance the match end,2,True,short game; long game,1,True,expected payoff,0,False,,True,75%; 0.75,7,True,True
experiment_20250905_152321,0.75,1,1,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,0,False,,1,True,expected number of rounds is low (approx. 1/(0.25) = 4 rounds,1,True,"expected number of rounds is low (approx. 1/(0.25) = 4 rounds on average), so building a cooperative relationship early is advantageous to maximize total payoff",0,False,,True,75%,2,True,False
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,0,False,,0,False,,0,False,,0,False,,False,,0,False,False
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,0,False,,0,False,,0,False,,0,False,,True,75%,0,False,False
experiment_20250905_152321,0.75,1,2,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,2,True,"75% chance of ending each round, meaning there's a reasonable chance it will continue for a while, but also a significant chance it will end; 75% chance of ending each round, meaning there's a reasonable chance it will continue",1,True,"long sequence of mutual defection, which would be suboptimal given the relatively high probability of the game",0,False,,0,False,,True,"75%; 75% chance of ending each round, meaning there's a reasonable chance it will continue",3,True,True
