experiment,shadow_condition,phase,round,agent,provider,temperature,base_name,explicit_history_keywords_count,explicit_history_keywords_present,explicit_history_keywords_keywords,opponent_behavior_tracking_count,opponent_behavior_tracking_present,opponent_behavior_tracking_keywords,reciprocity_concepts_count,reciprocity_concepts_present,reciprocity_concepts_keywords,trust_betrayal_count,trust_betrayal_present,trust_betrayal_keywords,pattern_recognition_count,pattern_recognition_present,pattern_recognition_keywords,history_awareness_score,has_history_awareness,is_first_round,first_round_no_history
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,1,True,history,0,False,,0,False,,0,False,,0,False,,1,True,True,True
experiment_20250905_152321,0.75,1,2,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,1,True,last round,1,True,opponent cooperated,2,True,reciprocate; retaliate,0,False,,0,False,,4,True,False,False
experiment_20250905_152321,0.75,1,1,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,history,0,False,,0,False,,0,False,,0,False,,1,True,True,True
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T02_p1i1,Claude,0.2,Claude_T02,1,True,history,0,False,,0,False,,1,True,trust,1,True,consistent,3,True,True,True
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T05_p1i1,Claude,0.5,Claude_T05,1,True,history,0,False,,0,False,,0,False,,1,True,consistent,2,True,True,True
experiment_20250905_152321,0.75,1,2,Claude4-Sonnet_T05_p1i1,Claude,0.5,Claude_T05,0,False,,1,True,opponent cooperated,1,True,retaliate,0,False,,0,False,,2,True,False,False
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T08_p1i1,Claude,0.8,Claude_T08,1,True,history,0,False,,1,True,based on their,0,False,,0,False,,2,True,True,True
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T02_p1i1,Mistral,0.2,Mistral_T02,1,True,history,0,False,,1,True,reciprocate,0,False,,2,True,alternating; strategy is,4,True,True,True
experiment_20250905_152321,0.75,1,2,Mistral-Medium_T02_p1i1,Mistral,0.2,Mistral_T02,3,True,history; last move; before,0,False,,1,True,mirror,0,False,,1,True,alternating,5,True,False,False
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T07_p1i1,Mistral,0.7,Mistral_T07,2,True,history; last move,0,False,,2,True,retaliate; mirror,1,True,trust,0,False,,5,True,True,True
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T12_p1i1,Mistral,1.2,Mistral_T12,1,True,history,0,False,,1,True,retaliate,0,False,,1,True,strategy is,3,True,True,True
