IPD EXPERIMENT ANALYSIS REPORT
==================================================

OVERALL PERFORMANCE RANKINGS
------------------------------
1. GPT5mini_T1_p1i1: 4.091 points/move
2. SuspiciousTitForTat_p2i2: 3.935 points/move
3. GPT5mini_T1_p2i1: 3.882 points/move
4. SuspiciousTitForTat_p2i1: 3.812 points/move
5. SuspiciousTitForTat_p1i1: 3.763 points/move
6. ThompsonSampling_p1i1: 3.438 points/move
7. GPT5mini_T1_p2i2: 3.400 points/move
8. SuspiciousTitForTat_p3i2: 3.289 points/move
9. GradientMetaLearner_p2i1: 3.229 points/move
10. GPT5mini_T1_p3i3: 3.219 points/move
11. GradientMetaLearner_p1i1: 3.194 points/move
12. SuspiciousTitForTat_p3i1: 3.194 points/move
13. Prober_p1i1: 3.111 points/move
14. ThompsonSampling_p2i1: 3.059 points/move
15. SuspiciousTitForTat_p3i4: 3.057 points/move
16. GPT5mini_T1_p3i2: 3.026 points/move
17. ThompsonSampling_p3i1: 3.024 points/move
18. Random_p1i1: 2.974 points/move
19. QLearning_p1i1: 2.947 points/move
20. GPT5mini_T1_p3i1: 2.923 points/move
21. GradientMetaLearner_p3i1: 2.914 points/move
22. Alternator_p2i1: 2.914 points/move
23. Detective_p1i1: 2.912 points/move
24. Alternator_p1i1: 2.838 points/move
25. QLearning_p2i1: 2.816 points/move
26. Mistral-Medium_T02_p1i1: 2.757 points/move
27. SuspiciousTitForTat_p3i3: 2.756 points/move
28. Detective_p2i1: 2.750 points/move
29. Gradual_p1i1: 2.743 points/move
30. Random_p2i1: 2.714 points/move
31. Mistral-Medium_T07_p1i1: 2.710 points/move
32. Random_p3i1: 2.686 points/move
33. GrimTrigger_p1i1: 2.667 points/move
34. Gemini20Flash_T07_p1i1: 2.667 points/move
35. ForgivingGrimTrigger_p1i1: 2.658 points/move
36. Gemini20Flash_T12_p2i1: 2.639 points/move
37. SuspiciousTitForTat_p4i5: 2.636 points/move
38. Bayesian_p1i1: 2.636 points/move
39. GradientMetaLearner_p3i2: 2.633 points/move
40. GPT5nano_T1_p1i1: 2.625 points/move
41. Claude4-Sonnet_T08_p1i1: 2.625 points/move
42. SoftGrudger_p1i1: 2.625 points/move
43. TitForTat_p1i1: 2.611 points/move
44. GPT5nano_T1_p2i1: 2.588 points/move
45. Gemini20Flash_T02_p1i1: 2.583 points/move
46. Claude4-Sonnet_T05_p1i1: 2.571 points/move
47. Claude4-Sonnet_T02_p1i1: 2.568 points/move
48. QLearning_p3i1: 2.538 points/move
49. Bayesian_p2i1: 2.538 points/move
50. Gemini20Flash_T07_p2i1: 2.536 points/move
51. Gemini20Flash_T12_p1i1: 2.531 points/move
52. Mistral-Medium_T12_p1i1: 2.526 points/move
53. Claude4-Sonnet_T02_p2i1: 2.484 points/move
54. Mistral-Medium_T02_p2i1: 2.472 points/move
55. ThompsonSampling_p4i2: 2.469 points/move
56. GPT5mini_T1_p3i4: 2.465 points/move
57. Claude4-Sonnet_T05_p2i1: 2.450 points/move
58. SuspiciousTitForTat_p4i3: 2.444 points/move
59. QLearning_p4i1: 2.444 points/move
60. WinStayLoseShift_p1i1: 2.438 points/move
61. GPT4.1mini_T1_p1i1: 2.429 points/move
