experiment,shadow_condition,phase,round,agent,provider,temperature,base_name,termination_probability_specific_count,termination_probability_specific_present,termination_probability_specific_matches,expected_game_length_count,expected_game_length_present,expected_game_length_matches,future_payoff_calculation_count,future_payoff_calculation_present,future_payoff_calculation_matches,strategic_horizon_reasoning_count,strategic_horizon_reasoning_present,strategic_horizon_reasoning_matches,mentions_specific_shadow_value,specific_shadow_matches,refined_shadow_awareness_score,has_precise_shadow_awareness,strategic_vs_generic_future
experiment_20250826_151104,0.05,1,1,GPT4o_T1_p1i1,GPT4,1.0,GPT4_T1,0,False,,0,False,,0,False,,0,False,,False,,0,False,False
experiment_20250826_151104,0.05,1,2,GPT4o_T1_p1i1,GPT4,1.0,GPT4_T1,2,True,"0% chance of end; 0% chance of ending after each round, it is highly likely the game will continue",0,False,,0,False,,0,False,,False,,2,True,True
experiment_20250826_151104,0.05,1,3,GPT4o_T1_p1i1,GPT4,1.0,GPT4_T1,2,True,"5% chance of end; 5% chance of ending after each round, so maintaining a cooperative environment is beneficial for as long as the game continue",1,True,long as the game,0,False,,0,False,,True,"5%; 5% chance of ending after each round, so maintaining a cooperative environment is beneficial for as long as the game continue",3,True,True
experiment_20250826_151104,0.05,1,4,GPT4o_T1_p1i1,GPT4,1.0,GPT4_T1,0,False,,0,False,,0,False,,0,False,,False,,0,False,False
experiment_20250826_151104,0.05,1,5,GPT4o_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,5% chance of the game end,0,False,,0,False,,0,False,,True,5%,1,True,True
experiment_20250826_151104,0.05,1,6,GPT4o_T1_p1i1,GPT4,1.0,GPT4_T1,0,False,,0,False,,0,False,,0,False,,True,5%; 5%,0,False,False
experiment_20250826_151104,0.05,1,7,GPT4o_T1_p1i1,GPT4,1.0,GPT4_T1,0,False,,0,False,,0,False,,0,False,,True,5%,0,False,False
experiment_20250826_151104,0.05,1,8,GPT4o_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,0% chance of end,0,False,,0,False,,0,False,,False,,1,True,True
experiment_20250826_151104,0.05,1,9,GPT4o_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,5% chance of the game end,0,False,,0,False,,0,False,,True,5%,1,True,True
experiment_20250826_151104,0.05,1,10,GPT4o_T1_p1i1,GPT4,1.0,GPT4_T1,2,True,"0% chance of the game end; 0% chance of the game ending after each round, it is usually beneficial to maintain a mutual cooperation strategy, as defecting might trigger a breakdown in cooperation, leading to lower future scores if the game continue",0,False,,0,False,,0,False,,False,,2,True,True
experiment_20250826_151104,0.05,1,11,GPT4o_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,5% chance of the game end,1,True,"short-term gain if the game happens to continue, but it risks breaking the trust and thus diminishing future gains. since there's only a 5% chance of the game",0,False,,2,True,"given the precarious nature of the game's possible end, it makes sense to maintain this mutually beneficial pattern. defecting (d) could provide a short-term gain if the game happens to continue, but it risks breaking the trust and thus diminishing future gains. since there's only a 5% chance of the game; since the goal is to maximize your total score and given the precarious nature of the game's possible end, it makes sense to maintain this mutually beneficial pattern. defecting (d) could provide a short",True,5%,4,True,True
experiment_20250826_151104,0.05,1,12,GPT4o_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,probability of the game ending after each round is 5%. since the game could end,2,True,"long run, especially considering the probability of the game ending after each round is 5%. since the game; long term unless the game",0,False,,0,False,,True,5%,3,True,True
experiment_20250826_151104,0.05,1,13,GPT4o_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,"0% chance of ending), the risk of breaking the cooperative trend",0,False,,0,False,,0,False,,False,,1,True,True
experiment_20250826_151104,0.05,1,14,GPT4o_T1_p1i1,GPT4,1.0,GPT4_T1,2,True,"5% chance of the game ending after each round, implying that cooperation remains beneficial as long as the game continues, and a sudden defection might lead to a final assessment that is suboptimal if the game were to end; 5% chance of the game ending after each round, implying that cooperation remains beneficial as long as the game continue",1,True,"long as the game continues, and a sudden defection might lead to a final assessment that is suboptimal if the game",0,False,,0,False,,True,"5%; 5% chance of the game ending after each round, implying that cooperation remains beneficial as long as the game continue",3,True,True
experiment_20250826_151104,0.05,1,15,GPT4o_T1_p1i1,GPT4,1.0,GPT4_T1,5,True,"continuation probability**: with a 5% chance of the game ending after each round, there's a high prob; probability**: with a 5% chance of the game end; probability**: with a 5% chance of the game ending after each round, there's a high probability that the game will continue",0,False,,0,False,,0,False,,True,"5%; 5% chance of the game ending after each round, there's a high probability that the game will continue",5,True,True
experiment_20250826_151104,0.05,1,16,GPT4o_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,probability of the game ending after each round is 5%. with no indication of when the game might end,0,False,,0,False,,0,False,,True,5%,1,True,True
experiment_20250826_151104,0.05,1,17,GPT4o_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,5% chance of the game end,0,False,,0,False,,0,False,,True,5%,1,True,True
